FILE	LOCATOR	BEFORE_SNIPPET	AFTER_SNIPPET	NOTES
Yazdani_7068679_assignment2_3.py	filename (rename)	Yazdani_7068679_assignment2_3.py	hydrophobicity_pymol.py	Removed student name and ID from filename
assignment2_1_template.pml	filename (rename)	assignment2_1_template.pml	visualize_protein.pml	Removed assignment reference from filename
assignment2_2_template.py	filename (rename)	assignment2_2_template.py	calculate_hydrophobicity.py	Removed assignment/template reference from filename
assignment2_3_template.py	filename (rename)	assignment2_3_template.py	hydrophobicity_pymol_template.py	Removed assignment reference, kept template designation
test_assignment2_2.py	filename (rename)	test_assignment2_2.py	test_calculate_hydrophobicity.py	Aligned test name with renamed module
test_calculate_hydrophobicity.py	line 2	from assignment2_2_template import get_residues, compute_hydrophobicity, STUDENT_SURNAME	from calculate_hydrophobicity import get_residues, compute_hydrophobicity	Updated import to match renamed module, removed STUDENT_SURNAME import
calculate_hydrophobicity.py	line 2	from turtledemo.forest import doit3	(removed)	Removed dead/unused import
calculate_hydrophobicity.py	lines 95-96	# DTODO write your surname here\nSTUDENT_SURNAME = "Yazdani"	# Default prefix for output files\nOUTPUT_PREFIX = os.environ.get('HYDROPHOBICITY_OUTPUT_PREFIX', 'hydrophobicity')	Replaced hardcoded student name with configurable environment variable
calculate_hydrophobicity.py	lines 117-118	# DTODO : Read file and store residues\n# Hint : You can use your code from first assignment	# Read PDB file and extract amino acid residues from chain A\n# Filter for CA (alpha carbon) atoms	Removed assignment references, kept descriptive comment
calculate_hydrophobicity.py	line 185	# DTODO calculate average value with window size	# Calculate average hydrophobicity values using sliding window approach	Removed assignment marker, kept descriptive comment
calculate_hydrophobicity.py	line 191	f"./{STUDENT_SURNAME}_hydrophobicity_plot_{window_size}.png"	f"./{OUTPUT_PREFIX}_plot_window{window_size}.png"	Updated output path to use configurable prefix instead of student name
calculate_hydrophobicity.py	lines 196-199	if STUDENT_SURNAME == None:\n    print(f"Update your surname")\n    sys.exit()	if len(sys.argv) < 2:\n    print("Usage: python calculate_hydrophobicity.py <pdb_file>")\n    sys.exit(1)	Replaced student-specific validation with proper usage message
calculate_hydrophobicity.py	line 209	f"./{STUDENT_SURNAME}_hydrophobicity_plot_3.png"	f"./{OUTPUT_PREFIX}_plot_window3.png"	Updated output path to use configurable prefix
visualize_protein.pml	line 37	png ./Yazdani_7068679_assignment2_1.png , dpi=300	png ./protein_visualization.png , dpi=300	Removed student name from output filename
hydrophobicity_pymol.py	lines 41-43	# DTODO Write a PyMOL extension that will colour each residue...	# Color each residue in the PyMOL selection according to the Kyte-Doolittle hydrophobicity scale\n# The extension can be imported into PyMOL with: run hydrophobicity_pymol.py	Removed assignment instruction, replaced with professional usage documentation
hydrophobicity_pymol_template.py	lines 41-43	# DTODO Write a PyMOL extension that will colour each residue...	# Color each residue in the PyMOL selection according to the Kyte-Doolittle hydrophobicity scale\n# The extension can be imported into PyMOL with: run hydrophobicity_pymol_template.py	Removed assignment instruction, replaced with professional usage documentation
README.md	lines 1-46 (entire file)	THEORETICAL EXERCISES\n1. Choose a protein structure...\n2 PROGRAMMING EXERCISES...	# PyMOL Hydrophobicity Tools\n\n> Protein hydrophobicity analysis...\n\n## What It Does...	Complete rewrite from assignment instructions to professional project documentation with usage examples, setup instructions, troubleshooting guide
